Corridor #,Corridor Description,Corridor Num and Description,FY,Clean Corridor,Type,Detailed Type,Midpoint times,Side of street,SupDistrict,DPW Zone,Representative Street Segment,CNN (Route ID),Evaluation date,Evaluator name,Inspector,"11  Score (10, 20, or 30 score)","21  Litter (10, 20, or 30 score)","22  Grime, Leaks, Spills (% of sidewalk w/out)","24  Illegal Dumping (Y/N, where Y=none)","251  Feces, Needles, Condoms (Y/N, where Y=none)","252  Broken Glass (Y/N, where Y=none)",26  Odors (DPW),27  Odors (nonDPW),31  Public (DPW),32 Public (nonDPW),33  Private (Please indicate nearest address on attached work s,"34 Sidewalk (# on sidewalk, preiously 23)",Total # Trash Receptacles,41  Fullness,42  Cleanliness of trash receptacles,43  Cleanliness around trash receptacles,44  Painting,45  Structural integrity & function,46  Doors,Total # Trees,51  Cleanliness,52  Tree Appearance,53  Weediness,54  Clearance,11 pass,21  Pass,22  Pass,31  Pass,32 Pass,33  Pass,34 Pass,41  Pass,42  Pass,43  Pass,44  Pass,45  Pass,46  Pass,51  Pass,52  Pass,53 Pass,54  Pass,Longitude,Latitude,Location,Priority
,Guttenberg St -- Mission to Hanover,,2017-18,,Residential,Residential,Wed 12PM to 5PM,L,11,E,Guttenberg St  :  Pretor Way  -  Hanover St,6595000,06/06/2018 12:00:00 AM,Jordan,JBR,1,1.0625,0.9725,1,1,1,1,1,0,1.375,0,0,0,,,,,,,0,,,,,1,1,1,1,0,1,1,,,,,,,,,,,-122.4430004,37.70993461,,Regular
60,Mission EE: Rolph to Foote,#60 Mission EE: Rolph to Foote,2017-18,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,R,11,E,Mission St  :  Rolph St  -  Niagara Ave,9179000,05/18/2018 12:00:00 AM,Jordan,JBR,1,1.208333333,0.9613888889,1,1,1,1,1,0,6.402777778,0,0.4722222222,1,1,1,1,1,1,1,23,0.8958333333,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,-122.4415543,37.71575344,,Regular
53,Potrero B: 20th - Cesar Chavez,#53 Potrero B: 20th - Cesar Chavez,2017-18,Clean Corridor,Commercial,Residential/Commercial,Thu 12PM to 5PM,R,10,E,Potrero Ave  :  23rd St  -  24th St,10671000,06/28/2018 12:00:00 AM,Jordan,JBR,1.4,1.4,0.947166666666667,1,0,1,1,1,0.25,1.366666666666666,0,0.683333333333333,3,1,1,0.666666666666667,1,1,1,23,0.852380952380952,0.944444444444444,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,-122.4064526,37.75427693,,Regular
74,Van Ness 5: Mission - Golden Gate,#74 Van Ness 5: Mission - Golden Gate,2017-18,,Commercial,Commercial,Fri 12PM to 5PM,L,6,B,South Van Ness Ave  :  Market St  -  Mission St,12015101,06/22/2018 12:00:00 AM,Jordan,JBR,1.1,1.083333333,0.9551666667,1,1,1,1,1,0,2.683333333,0,0.8,10,1,1,1,1,1,1,43,0.8375,0.9375,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,-122.4192556,37.77514707,,Regular
,28th Ave -- California to Cabrillo,,2017-18,,Residential,Residential,"Fri 1st, 3rd 9AM to 11AM",R,1,C,28th Ave  :  Clement St  -  Geary Blvd,1578000,06/01/2018 12:00:00 AM,Jordan,JBR,1.35,1.3,0.951,1,1,1,1,1,0,0.5,0,0.1,0,,,,,,,14,0.9375,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.488085,37.7818745,,Regular
47,3rd St D: Galvez - Oakdale,#47 3rd St D: Galvez - Oakdale,2017-18,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,10,E,03rd St  :  Galvez Ave  -  Hudson Ave,204101,06/06/2018 12:00:00 AM,Jordan,JBR,1,1,0.96125,1,1,1,1,1,0,1,0,0.125,12,1,1,1,1,1,1,52,0.8380952381,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,-122.3884759,37.74110763,,Regular
,Silver Ave -- Santa Fe to Quint,,2017-18,,Residential,Residential,Fri 12PM to 5PM,R,10,E,Silver Ave  :  Topeka Ave  -  Thomas Ave,11934000,06/01/2018 12:00:00 AM,Jordan,JBR,1.15,1.15,0.955,1,1,1,1,1,0,1.25,0,0.1,0,,,,,,,10,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4009524,37.7352614,,Priority
,Dolores St -- 27th St to San Jose Ave,,2017-18,,Residential,Residential,Thurs 12PM to 5pm,L,8,D,Dolores St  :  Duncan St  -  28th St,4885101,05/17/2018 12:00:00 AM,Jordan,JBR,1,1,0.9696428571,1,1,1,1,1,0,0.5,0,0.1785714286,1,1,1,1,1,1,1,49,0.9795918367,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.4246028,37.7462414,,Regular
,Steiner St -- Page to Hayes,,2017-18,,Residential,Residential,Mon 12PM to 5PM,R,5,C,Steiner St  :  Page St  -  Oak St,12122000,05/21/2018 12:00:00 AM,Jordan,JBR,1,1,0.975,1,1,1,1,1,0,2,0,1.333333333,0,,,,,,,25,0.9090909091,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4322801,37.77282925,,Regular
,Hampshire St -- 18th to 23rd,,2017-18,,Residential,Residential,Mon 8AM to 12PM,L,9,D,Hampshire St  :  22nd St  -  23rd St,6655000,06/11/2018 12:00:00 AM,Jordan,JBR,1.05,1.05,0.9646666667,1,1,1,1,1,0,2.733333333,0,0.2166666667,0,,,,,,,57,0.8704545455,1,1,1,1,1,1,1,0,1,0,,,,,,,0,1,1,1,-122.4076019,37.75610878,,Priority
